route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7193,37,ŞİŞLİ-ALİBEYKÖY-İMAR BLOKLARI,ŞİŞLİ - ŞİŞHANE - KARAYOLLARI - İMAR BLOKLARI,,9,,,
7178,37,İKİTELLİ ORG.SAN.-M. AKİF MH.-GÖZTEPE MH.-TOPKAPI,TOPKAPI - OTOGAR - M. AKİF MAH - DEPREM KONUTLARI,,9,,,
7228,37,AVCILAR - HARAMİDERE,AVCILAR - ESENYURT,,9,,,
7467,37,BÜYÜKÇEKMECE-ESENYURT,BÜYÜKÇEKMECE - ESENYURT,,9,,,
7150,37,ELMALI-BEYKOZ-DEDEOĞLU,ELMALI - BEYKOZ - DEDEOĞLU,,9,,,
7259,37,KARTAL-ESENTEPE-DEVLET HASTANESİ-SOĞANLIK-YENİ MH,KARTAL - ESENTEPE - DEVLET HASTANESİ,,9,,,
7201,37,KÜÇÜKÇEKMECE - SEFAKÖY - TEVFİKBEY MAH.,KÜÇÜKÇEKMECE - SEFAKÖY - TEVFİKBEY MAH.,,9,,,
7200,37,KULELİ - YENİDOĞAN,KULELİ - YENİDOĞAN,,9,,,
7426,37,OTOGAR-BAYRAMPAŞA-KÜÇÜKKÖY-YUNUS EMRE MAH 1,CEVATPAŞA - B.PAŞA - OTOGAR - EYÜP - EDİRNEKAPI,,9,,,
7381,37,KADIKÖY-TÜCCARBAŞI-KAZASKER-İÇERENKÖY-K.BAKKALKÖY,KADIKÖY - KÜÇÜKBAKKALKÖY,,9,,,
7214,37,PAŞAÇAYIRI-BAĞCILAR HASTANE,BAĞCILAR - HABİBLER,,9,,,
7292,37,PENDİK-TOPSELVİ,PENDİK - TOPSELVİ,,9,,,
7399,37,PASABAHÇE-SOĞUKSU-ACARKENT,PASABAHÇE - SOĞUKSU - ACARKENT,,9,,,
7280,37,NUR SİTESİ-TOPKAPI 2,GAZİ MAHALLESİ - CEBECİ - KÜÇÜKKÖY - EDİRNEKAPI,,9,,,
7363,37,BÜYÜKÇEKMECE-BEYKENT,BÜYÜKÇEKMECE-BEYKENT,,9,,,
7457,37,BAKIRKÖY-KULELİ-İSTOÇ,KULELİ - İSTOÇ,,9,,,
7414,37,YAKUPLU(İHLAS MARMARA 1.ETAP)-TÜYAP-BÜYÜKÇEKMECE,B.ÇEKMECE - GÜRPINAR - YAKUPLU - BEYLİKDÜZÜ,,9,,,
7225,37,ÜMRANİYE DEVLET HASTANESİ-IHLAMURKUYU MH-BİRLİK MH,IHLAMURKUYU MH. - BİRLİK MH.,,9,,,
7392,37,MALTEPE-BAŞIBÜYÜK,MALTEPE - BAŞIBÜYÜK,,9,,,
7314,37,DEPREM KONUTLARI-M.AKİF MH-KÜÇÜKÇEKMECE,KÜÇÜKÇEKMECE MEHMET AKİF MAH- İKİTELLİ,,9,,,
7332,37,PENDİK-PENDİK EĞİTİM VE ARAŞTIRMA HASTANESİ-403 K*,PENDİK - KURTKÖY - HARMANDERE - ORHANLI,,9,,,
7245,37,ÜSKÜDAR-KOŞUYOLU-ACIBADEM,ÜSKÜDAR - KOŞUYOLU - ACIBADEM,,9,,,
7326,37,TOPKAPI-ESENLER-ATIŞALANI-GİYİMKENT,100.YIL - ATIŞALANI - ESENLER - TOPKAPI,,9,,,
7298,37,MALTEPE-ESENKENT,MALTEPE-ESENKENT,,9,,,
7398,37,ÜSKÜDAR-ÜMRANİYE-TAVUKÇUYOLU-ALEMDAĞ ÜSKÜDAR-ZEYNEP KAMİL ÖRNEK MAHALLESİ-ESATPAŞA,ÜSKÜDAR - ÖRNEK MH. - ESATPAŞA MH.,,9,,,
7224,37,AVCILAR-ESENYURT-HADIMKÖY,AVCILAR - ESENYURT,,9,,,
7501,37,TARABYAÜSTÜ-İSTİNYE-İSTİNYE PARK AVM,SARIYER BÖLGE ÇALIŞMA GRUBU,,9,,,
7191,37,PAZARİÇİ-GOP-TOPKAPI,YILDIZTABYA- PAZARİÇİ- GOP- TOPKAPI,,9,,,
3781,19,AKSARAY-REFİK SAYDAM CAD-TAKSİM,AKSARAY - TAKSİM,,10,,,
3750,19,YENİBOSNA - D100 KARAYOLU- TAKSİM,YENİBOSNA - TAKSİM,,10,,,
3739,19,BAKIRKÖY -D100 KARAYOLU- ŞİŞLİ,BAKIRKÖY - ŞİŞLİ,,10,,,
3776,19,TOPKAPI - TURGUT ÖZAL MİLLET CAD- TAKSİM,TOPKAPI - TAKSİM,,10,,,
3795,19,KADIKÖY -TOPHANELİOĞLU CAD- NİŞANTAŞI,KADIKÖY - NİŞANTAŞI,,10,,,
3799,19,BAKIRKÖY -D100 KARAYOLU- TAKSİM,BAKIRKÖY - TAKSİM,,10,,,
3773,19,YEŞİLKÖY - SAHİL YOLU- TAKSİM,YEŞİLKÖY - TAKSİM,,10,,,
7451,19,KADIKÖY-ATAŞEHİR,KADIKÖY-ATAŞEHİR,,10,,,
3803,19,ÜSKÜDAR - ABDULLAH AĞA CAD- BEYKOZ,ÜSKÜDAR - BEYKOZ,,10,,,
3780,19,KADIKÖY - BAĞDAT CAD- BOSTANCI,KADIKÖY - BOSTANCI,,10,,,
3778,19,AKSARAY-ÖMER HAYYAM CAD-TAKSİM,AKSARAY - TAKSİM,,10,,,
3772,19,BEŞİKTAŞ -SÜLEYMAN SEBA CAD- TAKSİM,BEŞİKTAŞ - TAKSİM,,10,,,
3788,19,BAĞLARBAŞI -NUHKUYUSU CAD- KADIKÖY,BAĞLARBAŞI - KADIKÖY,,10,,,
3794,19,BEŞİKTAŞ -CUMHURİYET CAD- HARBİYE,BEŞİKTAŞ - HARBİYE,,10,,,
3757,19,BOSTANCI -D100 KARAYOLU -TAKSİM,BOSTANCI - TAKSİM,,10,,,
3747,19,BOSTANCI -TURGUT ÖZAL BLV- PENDİK,BOSTANCI - PENDİK,,10,,,
